"doc_id","AB","TI","DI","LA"
"AKBARI E, 2018, INT J ENVIRON SCI TECHNOL 2","Alkaline lipases are one of the most important industrial enzymes that have several uses in detergents, food, pharmaceutical, cosmetics, textile, leather and biomedical industries. For screening the lipase-producing bacteria, olive agar A, B, C and Rhodamine B agar were used. The best environmental conditions and their interactions for alkaline lipase production were obtained using Taguchi statistical test. Enzyme purification was carried out by ammonium sulfate precipitation, dialysis and SDS-PAGE, respectively. The best alkaline lipase-producing strain, WS3, isolated from Persian Gulf, was named Marinobacter alkaliphilus ABN-IAUF-1 (GenBank accession number: KP403723). The maximum enzyme activity of 37.00 (mu/ml) was measured in the presence of coconut oil as the carbon source in oil broth medium after 48-h incubation at the pH 8.00 and 30 A degrees C. The most effective factors in enzyme production were nitrogen and carbon sources with 32 and 25\% of influence, respectively. Precipitation and dialysis increased the enzyme purity 1.90-2.33 times. The total enzyme activity of 925.00 +/ - 20.00 U in the oil broth, 96.00 +/- 7.00 U after precipitation with ammonium sulfate and 60.00 +/- 5.00 U after dialysis was measured. The molecular weight of alkaline lipase was measured as 55 kDa. In conclusion, this is the first report of production of alkaline lipase by a halo-alkalophilic bacterium, Marinobacter alkaliphilus ABN-IAUF-1, that was obtained from Persian Gulf, Iran. The application of enzymes produced by extremophiles such as Marinobacter alkaliphilus could be an asset in the modern environmental microbiology as well as food and industrial biotechnology.","A novel halo-alkalo-tolerant bacterium, Marinobacter alkaliphilus ABN-IAUF-1, isolated from Persian Gulf suitable for alkaline lipase production","10.1007/s13762-017-1503-z","ENGLISH"
"ALI SS, 2012, AMB EXPRESS","Microbial bioprocessing of lignocellulose to bioethanol still poses challenges in terms of substrate catabolism. A targeted evolution-based study was undertaken to determine if inter-strain microbial variability could be exploited for bioprocessing of lignocellulose to bioethanol. The microorganism studied was Fusarium oxysporum because of its capacity to both saccharify and ferment lignocellulose. Strains of F. oxysporum were isolated and assessed for their genetic variability. Using optimised solid-state straw culture conditions, experiments were conducted that compared fungal strains in terms of their growth, enzyme activities (cellulases, xylanase and alcohol dehydrogenase) and yield of bioethanol and the undesirable by-products acetic acid and xylitol. Significant interstrain divergence was recorded in regards to the capacity of studied F. oxysporum strains to produce alcohol from untreated straw. No correlation was observed between bioethanol synthesis and either the biomass production or microbial enzyme activity. A strong correlation was observed between both acetic acid and xylitol production and bioethanol yield. The level of diversity recorded in the alcohol production capacity among closely-related microorganism means that a targeted screening of populations of selected microbial species could greatly improve bioprocessing yields, in terms of providing both new host strains and candidate genes for the bioethanol industry. © 2012 Ali et al.","Exploiting the inter-strain divergence of Fusarium oxysporum for microbial bioprocessing of lignocellulose to bioethanol","10.1186/2191-0855-2-16","ENGLISH"
"ALI Z, 2025, PROTEIN EXPR PURIF 1","α-amylases are vital biocatalysts that constitute a billion-dollar industry with a substantial and enduring global demand. Amylases hydrolyze the α-1,4-glycosidic linkages in starch polymers to generate maltose and malto-oligosaccharides subunits. Amylases are key enzymes that have promising applications in various industrial processes ranging from pharmaceutical, pulp and paper, textile food industries to bioremediation and biofuel sectors. Microbial enzymes have been widely used in industrial applications owing to their ease of availability, cost-effectiveness and better stability at extreme temperatures and pH. α-amylases derived from distinct microbial origins exhibit diverse characteristics, which make them suitable for specific applications. The routine application of immobilized enzymes has become a standard practice in the production of numerous industrial products across the pharmaceutical, chemical, and food industries. This review details the structural makeup of microbial α-amylase to understand its thermodynamic characteristics, aiming to identify key areas that could be targeted for improving the thermostability, pH tolerance and catalytic activity of α-amylase through various immobilization techniques or specific enzyme engineering methods. Additionally, the review briefly explores the enzyme production strategies, potential sources of α-amylases, and use of cost-effective and sustainable raw materials for enzyme production to obtain α-amylases with unconventional applications in various industrial sectors. Major hurdles, challenges and future prospects involving microbial α-amylases has been briefly discussed by considering its diverse applications in industrial bioprocessing.","Recent trends in production and potential applications of microbial amylases: A comprehensive review.","S1046-5928(24)00212-2","ENG"
"ALI Z, 2025, PROTEIN EXPR PURIF 2","alpha-amylases are vital biocatalysts that constitute a billion-dollar industry with a substantial and enduring global demand. Amylases hydrolyze the alpha-1,4-glycosidic linkages in starch polymers to generate maltose and maltooligosaccharides subunits. Amylases are key enzymes that have promising applications in various industrial processes ranging from pharmaceutical, pulp and paper, textile food industries to bioremediation and biofuel sectors. Microbial enzymes have been widely used in industrial applications owing to their ease of availability, cost-effectiveness and better stability at extreme temperatures and pH. alpha-amylases derived from distinct microbial origins exhibit diverse characteristics, which make them suitable for specific applications. The routine application of immobilized enzymes has become a standard practice in the production of numerous industrial products across the pharmaceutical, chemical, and food industries. This review details the structural makeup of microbial alpha-amylase to understand its thermodynamic characteristics, aiming to identify key areas that could be targeted for improving the thermostability, pH tolerance and catalytic activity of alpha-amylase through various immobilization techniques or specific enzyme engineering methods. Additionally, the review briefly explores the enzyme production strategies, potential sources of alpha-amylases, and use of cost-effective and sustainable raw materials for enzyme production to obtain alpha-amylases with unconventional applications in various industrial sectors. Major hurdles, challenges and future prospects involving microbial alpha-amylases has been briefly discussed by considering its diverse applications in industrial bioprocessing.","Recent trends in production and potential applications of microbial amylases: A comprehensive review","10.1016/j.pep.2024.106640","ENGLISH"
"ALVIRA P, 2013, J CHEM TECHNOL BIOTECHNOL 1","Background: Advances on enzyme technology have improved the economics of cellulosic ethanol. Nevertheless, there is still great interest to improve the production and the characteristics of the enzymatic preparations. One possibility to reduce the cost of the enzymes is on-site enzyme production in a biorefinery plant, in which part of the lignocellulosic material already available can be used as a cheap carbon source in the enzyme production. Results: Steam exploded wheat straw at two different severity conditions was evaluated as carbon source for enzyme production by Trichoderma reesei. The results showed that volumetric production of cellulases and β-glucosidase increased when using a carbon source with high cellulose content. When a carbon source with a higher content of hemicellulose was used the enzymatic mixture showed significantly higher proportions of hemicellulase activities (xylanase, β-xylosidase and α-L-arabinofuranosidase), which had a positive effect on subsequent enzymatic hydrolysis. Conclusions: The proportion of cellulose and hemicellulose in the carbon source has an influence on the composition of the enzymatic cocktail. The higher the cellulose and hemicellulose content, the higher the titer of cellulase and hemicellulase produced by the fungus, respectively. The enzyme preparations with higher hemicellulase activities were more efficient in hydrolyzing xylan-containing substrates. © 2012 Society of Chemical Industry.","Production and hydrolytic efficiency of enzymes from Trichoderma reesei RUTC30 using steam pretreated wheat straw as carbon source","10.1002/jctb.3955","ENGLISH"
"ALVIRA P, 2013, J CHEM TECHNOL BIOTECHNOL 2","Background Advances on enzyme technology have improved the economics of cellulosic ethanol. Nevertheless, there is still great interest to improve the production and the characteristics of the enzymatic preparations. One possibility to reduce the cost of the enzymes is on-site enzyme production in a biorefinery plant, in which part of the lignocellulosic material already available can be used as a cheap carbon source in the enzyme production. Results Steam exploded wheat straw at two different severity conditions was evaluated as carbon source for enzyme production by Trichoderma reesei. The results showed that volumetric production of cellulases and -glucosidase increased when using a carbon source with high cellulose content. When a carbon source with a higher content of hemicellulose was used the enzymatic mixture showed significantly higher proportions of hemicellulase activities (xylanase, -xylosidase and -L-arabinofuranosidase), which had a positive effect on subsequent enzymatic hydrolysis. Conclusions The proportion of cellulose and hemicellulose in the carbon source has an influence on the composition of the enzymatic cocktail. The higher the cellulose and hemicellulose content, the higher the titer of cellulase and hemicellulase produced by the fungus, respectively. The enzyme preparations with higher hemicellulase activities were more efficient in hydrolyzing xylan-containing substrates. (c) 2012 Society of Chemical Industry.","Production and hydrolytic efficiency ofenzymes from Trichoderma reesei RUTC30 using steam pretreated wheat straw as carbon source","10.1002/jctb.3955","ENGLISH"
"ANGEL SILES LÓPEZ J, 2010, CRIT REV BIOTECHNOL","Up to comparatively recently orange peel and the associated residual remnants of membranes resulting from juice extraction represented a significant disposal problem, especially in those regions where orange cultivation is a major industry. However, recent research has demonstrated that orange peel waste represents a potentially valuable resource that can be developed into high value products. These developments are critically reviewed in this article. This includes a summary of the chemical composition of the substrate and an assessment of the range of applications in which the peel is deployed. Utilization as a substrate to produce animal feed, fertilizer, essential oils, pectin, ethanol, methane, industrial enzymes, and single cell protein is discussed. The applications described together with those that will no doubt be developed in the future, represent great opportunities to harness the economical benefit of this agro-industrial waste and to develop even more efficient and sustainable systems. A scheme of integrated utilization of orange peel in a biorefinery approach is discussed together with some prediction of further necessary research.","Biorefinery of waste orange peel.","10.3109/07388550903425201","ENG"
"ARBIGE MV, 2019, TRENDS BIOTECHNOL","This review focuses on recent developments in industrial enzymology, protein engineering, and the design and production of microorganisms. We highlight the latest recombinant DNA (rDNA) technology and tools of protein engineering. These advancements are delivering solutions that address the large unmet needs of customers and markets. To illustrate the progress made over the past three decades, several technological developments and applications are highlighted. High-throughput methods of cell and protein engineering have increased the pace of commercialization. Continuous innovations have impacted many areas of industrial biotechnology and its applications; for example, laundry and dish washing, textile processing, animal health, and human nutrition. The worldwide growth of this bioindustry reflects the potential of biotechnology, which in turn adds a new chapter to the field of industrial enzymology. © 2019 Elsevier Ltd","Industrial Enzymology: The Next Chapter","10.1016/j.tibtech.2019.09.010","ENGLISH"
"ARORA R, 2024, PROCESS","The production of cellulosic sugars in lignocellulose biorefinery presents significant economic and environmental challenges due to the recalcitrant nature of biomass. The economic and facile production of renewable sugars with high yield and productivity is pivotal for the success of biorefinery. The cellulosic sugars are valorized either by biochemical routes or chemical routes or by hybrid (biological and chemical) routes into renewable chemicals, fuels, and materials. This manuscript focuses on the critical parameters affecting the economic viability of cellulosic sugar production at large scale, including biomass-specific pretreatment strategies and enzyme cost efficiency. High pretreatment costs, carbohydrate loss, and inhibitors production during pretreatment are identified as major contributors to overall production costs. To address these issues, we highlight the importance of developing cost-effective and efficient pretreatment methods tailored to specific biomass types and strategies for enzyme reuse and recycling. Future research should focus on innovations in pretreatment technologies, improved logistics for high-density feedstocks, biomass feeding systems, and advancements in enzyme technology to enhance the economic and environmental sustainability of lignocellulosic biorefineries. The findings highlight the need for continued innovation and optimization to make the commercial-scale production of cellulosic sugars more viable and sustainable. © 2024 by the authors.","Key Takeaways on the Cost-Effective Production of Cellulosic Sugars at Large Scale","10.3390/pr12071496","ENGLISH"
"ARORA R, 2024, PROCESSES","The production of cellulosic sugars in lignocellulose biorefinery presents significant economic and environmental challenges due to the recalcitrant nature of biomass. The economic and facile production of renewable sugars with high yield and productivity is pivotal for the success of biorefinery. The cellulosic sugars are valorized either by biochemical routes or chemical routes or by hybrid (biological and chemical) routes into renewable chemicals, fuels, and materials. This manuscript focuses on the critical parameters affecting the economic viability of cellulosic sugar production at large scale, including biomass-specific pretreatment strategies and enzyme cost efficiency. High pretreatment costs, carbohydrate loss, and inhibitors production during pretreatment are identified as major contributors to overall production costs. To address these issues, we highlight the importance of developing cost-effective and efficient pretreatment methods tailored to specific biomass types and strategies for enzyme reuse and recycling. Future research should focus on innovations in pretreatment technologies, improved logistics for high-density feedstocks, biomass feeding systems, and advancements in enzyme technology to enhance the economic and environmental sustainability of lignocellulosic biorefineries. The findings highlight the need for continued innovation and optimization to make the commercial-scale production of cellulosic sugars more viable and sustainable.","Key Takeaways on the Cost-Effective Production of Cellulosic Sugars at Large Scale","10.3390/pr12071496","ENGLISH"
"ASIRI M, 2023, SCI TOTAL ENVIRON","Cellulases are the one of the most highly demanded industrial biocatalysts due to their versatile applications, such as in the biorefinery industry. However, relatively poor efficiency and high production costs are included as the key industrial constraints that hinder enzyme production and utilization at economic scale. Furthermore, the production and functional efficiency of the β-glucosidase (BGL) enzyme is usually found to be relatively low among the cellulase cocktail produced. Thus, the current study focuses on fungi-mediated improvement of BGL enzyme in the presence of a rice straw-derived graphene-silica-based nanocomposite (GSNCs), which has been characterized using various techniques to analyze its physicochemical properties. Under optimized conditions of solid-state fermentation (SSF), co-fermentation using co-cultured cellulolytic enzyme has been done, and maximum enzyme production of 42 IU/gds FP, 142 IU/gds BGL, and 103 IU/gds EG have been achieved at a 5 mg concentration of GSNCs. Moreover, at a 2.5 mg concentration of nanocatalyst, the BGL enzyme showed its thermal stability at 60°C and 70 °C by holding its half-life relative activity for 7 h, while the same enzyme demonstrated pH stability at pH 8.0 and 9.0 for the 10 h. This thermoalkali BGL enzyme might be useful for the long-term bioconversion of cellulosic biomass into sugar. © 2023","Rice straw derived graphene-silica based nanocomposite and its application in improved co-fermentative microbial enzyme production and functional stability","10.1016/j.scitotenv.2023.162765","ENGLISH"
